,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
175,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
176,"(17, 3, 0)","(16, 2, 0)","(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
177,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
178,"(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
179,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
180,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,
181,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
182,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
183,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
184,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,,,
185,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
186,"(22, 3, 0)","(21, 0, 0)","(17, 3, 0)","(16, 2, 0)","(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,
187,2.0069161252070296,1.4657600765914585,0.0,0.0,,,,,,,,,,,
188,"(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
189,2.0069161252070296,1.4657600765914585,0.0,0.0,,,,,,,,,,,
190,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,,
191,2.0069161252070296,1.4657600765914585,0.0,0.0,,,,,,,,,,,
192,"(13, 0, 0)","(9, 0, 0)","(5, 3, 0)","(4, 2, 10)","(8, 2, 10)",,,,,,,,,,
193,2.0069161252070296,1.4657600765914585,0.0,0.0,,,,,,,,,,,
194,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,,
195,2.0069161252070296,1.4657600765914585,0.0,0.0,,,,,,,,,,,
196,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,,
197,2.0069161252070296,1.4657600765914585,0.0,0.0,,,,,,,,,,,
198,"(0, 2, 0)","(4, 1, 0)","(5, 2, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,
199,2.0069161252070296,1.4657600765914585,0.0,0.0,,,,,,,,,,,
200,"(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
201,2.0069161252070296,1.4657600765914585,0.0,0.0,,,,,,,,,,,
202,"(22, 3, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
203,2.002074926160735,1.4657600765914585,0.0,0.0,,,,,,,,,,,
204,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,
205,2.002074926160735,1.4657600765914585,0.0,0.0,,,,,,,,,,,
206,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,,
207,2.002074926160735,1.4657600765914585,0.0,0.0,,,,,,,,,,,
208,"(22, 3, 0)","(21, 3, 0)","(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
209,2.002074926160735,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
210,"(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
211,2.002074926160735,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
212,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,
213,2.002074926160735,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
214,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
215,2.002074926160735,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
216,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
217,2.002074926160735,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
218,"(23, 0, 0)","(19, 0, 0)","(15, 2, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,
219,2.002074926160735,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
220,"(15, 2, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
221,2.002074926160735,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
222,"(22, 1, 0)","(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
223,2.002074926160735,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
224,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,,
225,2.002074926160735,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
226,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,,
227,2.002074926160735,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
228,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 2, 0)","(15, 0, 0)","(11, 2, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,
229,2.002074926160735,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
230,"(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
231,2.002074926160735,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
232,"(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
233,2.002074926160735,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
234,"(22, 3, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 1, 0)","(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,
235,2.0006224858221113,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
236,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,,
237,2.0006224858221113,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
238,"(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
