,0,1,2,3,4,5,6,7,8,9,10,11,12,13
162,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
163,0.6787339943684922,0.0,0.0,0.0,,,,,,,,,,
164,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
165,0.6787339943684922,0.0,0.0,0.0,,,,,,,,,,
166,"(22, 3, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,
167,0.9577446556489722,0.0,0.0,0.0,,,,,,,,,,
168,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
169,0.9577446556489722,0.0,0.0,0.0,,,,,,,,,,
170,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
171,0.9577446556489722,0.0,0.0,0.0,,,,,,,,,,
172,"(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
173,0.9577446556489722,0.0,0.0,0.0,,,,,,,,,,
174,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
175,0.9577446556489722,0.0,0.0,0.0,,,,,,,,,,
176,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
177,0.9577446556489722,0.0,0.0,0.0,,,,,,,,,,
178,"(20, 1, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,
179,1.2406454330528607,0.0,0.0,0.0,,,,,,,,,,
180,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,
181,1.2406454330528607,0.0,0.0,0.0,,,,,,,,,,
182,"(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
183,1.4235080044126251,0.0,0.0,0.0,,,,,,,,,,
184,"(9, 1, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
185,1.4235080044126251,0.0,0.0,0.0,,,,,,,,,,
186,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
187,1.4235080044126251,0.0,0.0,0.0,,,,,,,,,,
188,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,,
189,1.4235080044126251,0.0,0.0,0.0,,,,,,,,,,
190,"(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
191,1.4235080044126251,0.0,0.0,0.0,,,,,,,,,,
192,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
193,1.4235080044126251,0.0,0.0,0.0,,,,,,,,,,
194,"(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
195,1.4235080044126251,0.0,0.0,0.0,,,,,,,,,,
196,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
197,1.4235080044126251,0.0,0.0,0.0,,,,,,,,,,
198,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
199,1.4235080044126251,0.0,0.0,0.0,,,,,,,,,,
200,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
201,1.4235080044126251,0.0,0.0,0.0,,,,,,,,,,
202,"(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
203,1.4235080044126251,0.0,0.0,0.0,,,,,,,,,,
204,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,
205,1.4235080044126251,0.0,0.0,0.0,,,,,,,,,,
206,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
207,1.4235080044126251,0.0,0.0,0.0,,,,,,,,,,
208,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,,
209,1.4235080044126251,0.0,0.0,0.0,,,,,,,,,,
210,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
211,1.4235080044126251,0.0,0.0,0.0,,,,,,,,,,
212,"(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
213,1.569285548032537,0.0,0.0,0.0,,,,,,,,,,
214,"(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
215,1.569285548032537,0.0,0.0,0.0,,,,,,,,,,
216,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
217,1.569285548032537,0.0,0.0,0.0,,,,,,,,,,
218,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,,
219,1.569285548032537,0.0,0.0,0.0,,,,,,,,,,
220,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
221,1.569285548032537,0.0,0.0,0.0,,,,,,,,,,
222,"(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
223,1.6975210780900234,0.0,0.0,0.0,,,,,,,,,,
224,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
225,1.6975210780900234,0.0,0.0,0.0,,,,,,,,,,
226,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
227,1.6975210780900234,0.0,0.0,0.0,,,,,,,,,,
228,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
229,1.6975210780900234,0.0,0.0,0.0,,,,,,,,,,
230,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
231,1.6975210780900234,0.0,0.0,0.0,,,,,,,,,,
232,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
233,1.6975210780900234,0.0,0.0,0.0,,,,,,,,,,
234,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
