,0,1,2,3,4,5,6,7,8,9,10,11,12
297,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
298,"(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,,,
299,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
300,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
301,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
302,"(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,,,
303,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
304,"(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,,
305,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
306,"(9, 3, 10)","(8, 3, 10)",,,,,,,,,,,
307,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
308,"(20, 0, 0)","(16, 0, 0)","(12, 2, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,
309,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
310,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
311,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
312,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
313,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
314,"(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,,,
315,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
